timestep,A0A1,A0B0,A1A0,A1A2,A1B1,A2A1,A2A3,A2B2,A3A2,A3B3,B0A0,B0B1,B0C0,B1A1,B1B0,B1B2,B1C1,B2A2,B2B1,B2B3,B2C2,B3A3,B3B2,B3C3,C0B0,C0C1,C0D0,C1B1,C1C0,C1C2,C1D1,C2B2,C2C1,C2C3,C2D2,C3B3,C3C2,C3D3,D0C0,D0D1,D1C1,D1D0,D1D2,D2C2,D2D1,D2D3,D3C3,D3D2
82,3,1,0,0,0,1,0,2,1,0,1,0,2,1,0,3,0,0,8,0,2,0,2,0,1,8,1,0,0,6,0,3,2,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0
83,4,1,0,0,0,2,0,3,1,0,0,0,2,2,0,3,0,0,8,0,2,0,2,0,1,8,1,0,1,6,0,2,2,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0
84,4,1,0,0,0,2,0,3,1,0,0,0,2,2,0,3,0,0,8,0,2,0,2,0,1,8,2,0,2,6,0,2,2,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0
85,4,1,0,0,0,3,0,2,1,0,0,0,2,2,0,3,0,0,8,1,2,0,2,0,1,8,2,0,2,6,0,2,2,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0
86,4,1,0,0,0,3,0,2,1,0,0,0,2,1,0,3,0,0,9,2,1,0,2,0,0,8,2,0,2,6,0,1,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
87,3,1,0,0,0,3,0,1,1,0,0,0,1,1,0,3,0,0,10,2,1,0,2,0,0,8,2,0,2,6,0,2,2,0,0,0,0,0,0,0,0,0,2,4,0,0,0,2
88,3,1,0,0,0,2,0,1,0,0,0,0,1,1,0,3,0,0,11,2,1,0,2,0,0,8,2,0,2,6,0,2,2,0,1,0,0,0,0,0,0,0,2,4,0,0,0,2
89,2,0,0,0,1,2,0,1,0,0,0,0,1,1,0,3,0,0,11,2,1,0,2,0,1,8,2,0,2,6,0,3,2,0,1,0,0,0,0,0,0,0,2,4,0,0,0,2
90,2,0,0,0,2,2,0,1,0,0,0,0,1,1,0,3,0,0,11,2,1,0,2,0,1,8,2,0,2,6,0,3,2,0,1,0,0,0,0,0,0,0,2,4,0,0,0,2
91,2,0,1,1,2,3,0,0,0,0,0,0,0,1,0,2,0,0,9,2,1,0,1,0,1,6,2,0,2,4,0,3,1,0,1,0,0,0,0,0,0,0,1,4,0,0,0,2
